Epoch,Train Dice Score,Val Dice Score
0,0.6302812982064027,0.7555738389492035
1,0.7039885572516001,0.7857445925474167
2,0.725608308154803,0.7898420294125875
3,0.7405193144312272,0.7897324363390604
4,0.7557372634227459,0.8062652498483658
5,0.7794664083765104,0.8497359603643417
6,0.7899032103327605,0.8543329387903214
7,0.8022646285020388,0.8616133481264114
8,0.812864801631524,0.8709106345971426
9,0.8208773720722932,0.8779242038726807
10,0.8285708221105429,0.8845477352539698
11,0.8295761237923915,0.8820928484201431
12,0.8392636970831797,0.882697214682897
13,0.844032927774466,0.8919650316238403
14,0.8510758767907436,0.8969117800394694
15,0.8531016203073355,0.8947571814060211
16,0.8596412144028224,0.890284538269043
17,0.8569072507894956,0.9031929473082224
18,0.8636450756054658,0.9035829454660416
19,0.8678686406749946,0.90787140528361
20,0.8697728978899809,0.8977530052264532
21,0.8689012619165274,0.9117583831151327
22,0.8754250241013674,0.9118399818738302
23,0.8792167752981186,0.9099971254666647
24,0.876625259908346,0.9057219624519348
25,0.8806424656739602,0.9122101465861002
26,0.8836610678296822,0.91377092897892
27,0.8830129979894712,0.9156699925661087
28,0.8845963976704158,0.9098928074042002
29,0.8904069048854021,0.9189068625370661
30,0.886775975043957,0.9087669253349304
31,0.8906678471427697,0.9166040023167928
32,0.8923407644033432,0.9001850485801697
33,0.8957444721689591,0.9152974834044775
34,0.8937118981893246,0.9140611837307612
35,0.8978520436928823,0.9237238615751266
36,0.8952849879860878,0.9153603067000707
37,0.8985614639062148,0.9247769167025884
38,0.9002639485093263,0.9219262103239695
39,0.9013694868637965,0.9231811960538229
40,0.9022423940209242,0.9243020464976629
41,0.9041022406174586,0.9289076725641886
42,0.9039795771241188,0.9277816265821457
43,0.9058520054587951,0.9264472424983978
44,0.9087234695370381,0.9298015087842941
45,0.9091798720451502,0.9246482650438944
46,0.9076604092350373,0.9255938082933426
47,0.9110955979961616,0.9280601441860199
48,0.9101656486208622,0.9244085003932317
49,0.9125637566814055,0.9311244587103525
50,0.9149812012910843,0.9286167174577713
51,0.9135083080484316,0.9267586171627045
52,0.9133753369633968,0.9270554333925247
53,0.9152199127353154,0.9235578974088033
54,0.9163439044585595,0.9295150190591812
55,0.9184315296319815,0.9305499245723089
56,0.9197241509189973,0.931227390964826
57,0.9188490349512833,0.9271720051765442
58,0.9208414365465825,0.9313390254974365
59,0.9217275295120019,0.9338900446891785
60,0.9204716275517757,0.9312640527884165
61,0.9222059903236536,0.9321265518665314
62,0.9232409504743723,0.9326684574286143
63,0.9233329657178658,0.9284108330806097
64,0.9253444109971707,0.9286279032627741
65,0.9246581019117281,0.9328685452540716
66,0.9248301868255322,0.9311079283555349
67,0.926694030371996,0.9312123954296112
68,0.9261850015475199,0.9281532218058904
69,0.9280189820207082,0.9307943483193716
70,0.9299457978743774,0.9339197923739752
71,0.9264459621447784,0.9354907919963201
72,0.9265767972056682,0.9364939679702123
73,0.9311648601522813,0.9306821326414744
74,0.9310803860425949,0.9285803635915121
75,0.9307735648292762,0.9360672483841578
76,0.9343790274399978,0.9367534319559733
77,0.931168658229021,0.9337939967711767
78,0.9342112260369154,0.9402685761451721
79,0.9351792931556702,0.9345619529485703
80,0.9335611474055511,0.9346448630094528
81,0.9346715521353942,0.9320817987124125
82,0.9375818285804528,0.9362459580103556
83,0.9356414240140182,0.9353419542312622
84,0.9366799449691405,0.9299729218085607
85,0.9355111792683601,0.9355168789625168
86,0.9393207574119935,0.9384966343641281
87,0.9380733743309975,0.9395396759112676
88,0.9378712033996215,0.9343455880880356
89,0.9380584863516,0.9345383942127228
90,0.9399107322096825,0.936805377403895
91,0.9402826657662025,0.9401317983865738
92,0.9415432833708249,0.9374938011169434
93,0.9402032557588357,0.9328713417053223
94,0.9400106977957946,0.9381514141956965
95,0.9403991957123463,0.9329632371664047
96,0.9411003222832313,0.9383948892354965
97,0.9403094036074785,0.9349235892295837
98,0.9416989712760999,0.9320626755555471
99,0.9423178548996265,0.936954120794932
